NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIA3000,NASDAQ Asia Cnsmr Goods Index (NQASIA3000)
NASDAQOMX/NQASIA3000JPY,NASDAQ Asia Cnsmr Goods JPY Index (NQASIA3000JPY)
NASDAQOMX/NQASIA3000JPYN,NASDAQ Asia Cnsmr Goods JPY NTR Index (NQASIA3000JPYN)
NASDAQOMX/NQASIA3000JPYT,NASDAQ Asia Cnsmr Goods JPY TR Index (NQASIA3000JPYT)
NASDAQOMX/NQASIA3000LMN,NASDAQ Asia Cnsmr Goods Large Mid Cap NTR Index (NQASIA3000LMN)
NASDAQOMX/NQASIA3000LM,NASDAQ Asia Cnsmr Goods Large Mid Cap Index (NQASIA3000LM)
NASDAQOMX/NQASIA3000LMT,NASDAQ Asia Cnsmr Goods Large Mid Cap TR Index (NQASIA3000LMT)
NASDAQOMX/NQASIA3000LMAUD,NASDAQ Asia Cnsmr Goods Lg Md Cap AUD Index (NQASIA3000LMAUD)
NASDAQOMX/NQASIA3000LMAUDN,NASDAQ Asia Cnsmr Goods Lg Md Cap AUD NTR Index (NQASIA3000LMAUDN)
NASDAQOMX/NQASIA3000LMAUDT,NASDAQ Asia Cnsmr Goods Lg Md Cap AUD TR Index (NQASIA3000LMAUDT)
NASDAQOMX/NQASIA3000LMCAD,NASDAQ Asia Cnsmr Goods Lg Md Cap CAD Index (NQASIA3000LMCAD)
NASDAQOMX/NQASIA3000LMCADN,NASDAQ Asia Cnsmr Goods Lg Md Cap CAD NTR Index (NQASIA3000LMCADN)
NASDAQOMX/NQASIA3000LMCADT,NASDAQ Asia Cnsmr Goods Lg Md Cap CAD TR Index (NQASIA3000LMCADT)
NASDAQOMX/NQASIA3000LMEUR,NASDAQ Asia Cnsmr Goods Lg Md Cap EUR Index (NQASIA3000LMEUR)
NASDAQOMX/NQASIA3000LMEURN,NASDAQ Asia Cnsmr Goods Lg Md Cap EUR NTR Index (NQASIA3000LMEURN)
NASDAQOMX/NQASIA3000LMEURT,NASDAQ Asia Cnsmr Goods Lg Md Cap EUR TR Index (NQASIA3000LMEURT)
NASDAQOMX/NQASIA3000LMGBP,NASDAQ Asia Cnsmr Goods Lg Md Cap GBP Index (NQASIA3000LMGBP)
NASDAQOMX/NQASIA3000LMGBPN,NASDAQ Asia Cnsmr Goods Lg Md Cap GBP NTR Index (NQASIA3000LMGBPN)
NASDAQOMX/NQASIA3000LMGBPT,NASDAQ Asia Cnsmr Goods Lg Md Cap GBP TR Index (NQASIA3000LMGBPT)
NASDAQOMX/NQASIA3000LMJPY,NASDAQ Asia Cnsmr Goods Lg Md Cap JPY Index (NQASIA3000LMJPY)
NASDAQOMX/NQASIA3000LMJPYN,NASDAQ Asia Cnsmr Goods Lg Md Cap JPY NTR Index (NQASIA3000LMJPYN)
NASDAQOMX/NQASIA3000LMJPYT,NASDAQ Asia Cnsmr Goods Lg Md Cap JPY TR Index (NQASIA3000LMJPYT)
NASDAQOMX/NQASIA3000N,NASDAQ Asia Cnsmr Goods NTR Index (NQASIA3000N)
NASDAQOMX/NQASIA3000T,NASDAQ Asia Cnsmr Goods TR Index (NQASIA3000T)
NASDAQOMX/NQASIA5000AUD,NASDAQ Asia Cnsmr Svcs AUD Index (NQASIA5000AUD)
NASDAQOMX/NQASIA5000AUDN,NASDAQ Asia Cnsmr Svcs AUD NTR Index (NQASIA5000AUDN)
NASDAQOMX/NQASIA5000AUDT,NASDAQ Asia Cnsmr Svcs AUD TR Index (NQASIA5000AUDT)
NASDAQOMX/NQASIA5000CAD,NASDAQ Asia Cnsmr Svcs CAD Index (NQASIA5000CAD)
NASDAQOMX/NQASIA5000CADN,NASDAQ Asia Cnsmr Svcs CAD NTR Index (NQASIA5000CADN)
