NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQMEA2000LMJPYT,NASDAQ MEA Inds Large Mid Cap JPY TR Index (NQMEA2000LMJPYT)
NASDAQOMX/NQMEA2000LMN,NASDAQ MEA Inds Large Mid Cap NTR Index (NQMEA2000LMN)
NASDAQOMX/NQMEA2000LMT,NASDAQ MEA Inds Large Mid Cap TR Index (NQMEA2000LMT)
NASDAQOMX/NQMEA2000N,NASDAQ MEA Inds NTR Index (NQMEA2000N)
NASDAQOMX/NQMEA2000T,NASDAQ MEA Inds TR Index (NQMEA2000T)
NASDAQOMX/NQMEA8500AUD,NASDAQ MEA Ins AUD Index (NQMEA8500AUD)
NASDAQOMX/NQMEA8500AUDN,NASDAQ MEA Ins AUD NTR Index (NQMEA8500AUDN)
NASDAQOMX/NQMEA8500AUDT,NASDAQ MEA Ins AUD TR Index (NQMEA8500AUDT)
NASDAQOMX/NQMEA8500CAD,NASDAQ MEA Ins CAD Index (NQMEA8500CAD)
NASDAQOMX/NQMEA8500CADN,NASDAQ MEA Ins CAD NTR Index (NQMEA8500CADN)
NASDAQOMX/NQMEA8500CADT,NASDAQ MEA Ins CAD TR Index (NQMEA8500CADT)
NASDAQOMX/NQMEA8500EUR,NASDAQ MEA Ins EUR Index (NQMEA8500EUR)
NASDAQOMX/NQMEA8500EURN,NASDAQ MEA Ins EUR NTR Index (NQMEA8500EURN)
NASDAQOMX/NQMEA8500EURT,NASDAQ MEA Ins EUR TR Index (NQMEA8500EURT)
NASDAQOMX/NQMEA8500GBP,NASDAQ MEA Ins GBP Index (NQMEA8500GBP)
NASDAQOMX/NQMEA8500GBPN,NASDAQ MEA Ins GBP NTR Index (NQMEA8500GBPN)
NASDAQOMX/NQMEA8500GBPT,NASDAQ MEA Ins GBP TR Index (NQMEA8500GBPT)
NASDAQOMX/NQMEA8500,NASDAQ MEA Ins Index (NQMEA8500)
NASDAQOMX/NQMEA8500JPY,NASDAQ MEA Ins JPY Index (NQMEA8500JPY)
NASDAQOMX/NQMEA8500JPYN,NASDAQ MEA Ins JPY NTR Index (NQMEA8500JPYN)
NASDAQOMX/NQMEA8500JPYT,NASDAQ MEA Ins JPY TR Index (NQMEA8500JPYT)
NASDAQOMX/NQMEA8500LMAUD,NASDAQ MEA Ins Large Mid Cap AUD Index (NQMEA8500LMAUD)
NASDAQOMX/NQMEA8500LMAUDN,NASDAQ MEA Ins Large Mid Cap AUD NTR Index (NQMEA8500LMAUDN)
NASDAQOMX/NQMEA8500LMAUDT,NASDAQ MEA Ins Large Mid Cap AUD TR Index (NQMEA8500LMAUDT)
NASDAQOMX/NQMEA8500LMCAD,NASDAQ MEA Ins Large Mid Cap CAD Index (NQMEA8500LMCAD)
NASDAQOMX/NQMEA8500LMCADN,NASDAQ MEA Ins Large Mid Cap CAD NTR Index (NQMEA8500LMCADN)
NASDAQOMX/NQMEA8500LMCADT,NASDAQ MEA Ins Large Mid Cap CAD TR Index (NQMEA8500LMCADT)
NASDAQOMX/NQMEA8500LMEUR,NASDAQ MEA Ins Large Mid Cap EUR Index (NQMEA8500LMEUR)
NASDAQOMX/NQMEA8500LMEURN,NASDAQ MEA Ins Large Mid Cap EUR NTR Index (NQMEA8500LMEURN)
NASDAQOMX/NQMEA8500LMEURT,NASDAQ MEA Ins Large Mid Cap EUR TR Index (NQMEA8500LMEURT)
NASDAQOMX/NQMEA8500LMGBP,NASDAQ MEA Ins Large Mid Cap GBP Index (NQMEA8500LMGBP)
NASDAQOMX/NQMEA8500LMGBPN,NASDAQ MEA Ins Large Mid Cap GBP NTR Index (NQMEA8500LMGBPN)
NASDAQOMX/NQMEA8500LMGBPT,NASDAQ MEA Ins Large Mid Cap GBP TR Index (NQMEA8500LMGBPT)
NASDAQOMX/NQMEA8500LM,NASDAQ MEA Ins Large Mid Cap Index (NQMEA8500LM)
NASDAQOMX/NQMEA8500LMJPY,NASDAQ MEA Ins Large Mid Cap JPY Index (NQMEA8500LMJPY)
NASDAQOMX/NQMEA8500LMJPYN,NASDAQ MEA Ins Large Mid Cap JPY NTR Index (NQMEA8500LMJPYN)
NASDAQOMX/NQMEA8500LMJPYT,NASDAQ MEA Ins Large Mid Cap JPY TR Index (NQMEA8500LMJPYT)
NASDAQOMX/NQMEA8500LMN,NASDAQ MEA Ins Large Mid Cap NTR Index (NQMEA8500LMN)
NASDAQOMX/NQMEA8500LMT,NASDAQ MEA Ins Large Mid Cap TR Index (NQMEA8500LMT)
NASDAQOMX/NQMEA8500N,NASDAQ MEA Ins NTR Index (NQMEA8500N)
NASDAQOMX/NQMEA8500T,NASDAQ MEA Ins TR Index (NQMEA8500T)
NASDAQOMX/NQMEAJPY,NASDAQ MEA JPY Index (NQMEAJPY)
NASDAQOMX/NQMEAJPYN,NASDAQ MEA JPY NTR Index (NQMEAJPYN)
NASDAQOMX/NQMEAJPYT,NASDAQ MEA JPY TR Index (NQMEAJPYT)
NASDAQOMX/NQMEALCAUD,NASDAQ MEA Large Cap AUD Index (NQMEALCAUD)
NASDAQOMX/NQMEALCAUDN,NASDAQ MEA Large Cap AUD NTR Index (NQMEALCAUDN)
NASDAQOMX/NQMEALCAUDT,NASDAQ MEA Large Cap AUD TR Index (NQMEALCAUDT)
NASDAQOMX/NQMEALCCAD,NASDAQ MEA Large Cap CAD Index (NQMEALCCAD)
NASDAQOMX/NQMEALCCADN,NASDAQ MEA Large Cap CAD NTR Index (NQMEALCCADN)
NASDAQOMX/NQMEALCCADT,NASDAQ MEA Large Cap CAD TR Index (NQMEALCCADT)
NASDAQOMX/NQMEALCEUR,NASDAQ MEA Large Cap EUR Index (NQMEALCEUR)
NASDAQOMX/NQMEALCEURN,NASDAQ MEA Large Cap EUR NTR Index (NQMEALCEURN)
NASDAQOMX/NQMEALCEURT,NASDAQ MEA Large Cap EUR TR Index (NQMEALCEURT)
NASDAQOMX/NQMEALCGBP,NASDAQ MEA Large Cap GBP Index (NQMEALCGBP)
NASDAQOMX/NQMEALCGBPN,NASDAQ MEA Large Cap GBP NTR Index (NQMEALCGBPN)
NASDAQOMX/NQMEALCGBPT,NASDAQ MEA Large Cap GBP TR Index (NQMEALCGBPT)
NASDAQOMX/NQMEALC,NASDAQ MEA Large Cap Index (NQMEALC)
NASDAQOMX/NQMEALCJPY,NASDAQ MEA Large Cap JPY Index (NQMEALCJPY)
NASDAQOMX/NQMEALCJPYN,NASDAQ MEA Large Cap JPY NTR Index (NQMEALCJPYN)
NASDAQOMX/NQMEALCJPYT,NASDAQ MEA Large Cap JPY TR Index (NQMEALCJPYT)
NASDAQOMX/NQMEALCN,NASDAQ MEA Large Cap NTR Index (NQMEALCN)
NASDAQOMX/NQMEALCT,NASDAQ MEA Large Cap TR Index (NQMEALCT)
NASDAQOMX/NQMEALMAUD,NASDAQ MEA Large Mid Cap AUD Index (NQMEALMAUD)
NASDAQOMX/NQMEALMAUDN,NASDAQ MEA Large Mid Cap AUD NTR Index (NQMEALMAUDN)
NASDAQOMX/NQMEALMAUDT,NASDAQ MEA Large Mid Cap AUD TR Index (NQMEALMAUDT)
NASDAQOMX/NQMEALMCAD,NASDAQ MEA Large Mid Cap CAD Index (NQMEALMCAD)
NASDAQOMX/NQMEALMCADN,NASDAQ MEA Large Mid Cap CAD NTR Index (NQMEALMCADN)
NASDAQOMX/NQMEALMCADT,NASDAQ MEA Large Mid Cap CAD TR Index (NQMEALMCADT)
NASDAQOMX/NQMEALMEUR,NASDAQ MEA Large Mid Cap EUR Index (NQMEALMEUR)
NASDAQOMX/NQMEALMEURN,NASDAQ MEA Large Mid Cap EUR NTR Index (NQMEALMEURN)
NASDAQOMX/NQMEALMEURT,NASDAQ MEA Large Mid Cap EUR TR Index (NQMEALMEURT)
NASDAQOMX/NQMEALMGBP,NASDAQ MEA Large Mid Cap GBP Index (NQMEALMGBP)
NASDAQOMX/NQMEALMGBPN,NASDAQ MEA Large Mid Cap GBP NTR Index (NQMEALMGBPN)
NASDAQOMX/NQMEALMGBPT,NASDAQ MEA Large Mid Cap GBP TR Index (NQMEALMGBPT)
NASDAQOMX/NQMEALM,NASDAQ MEA Large Mid Cap Index (NQMEALM)
NASDAQOMX/NQMEALMJPY,NASDAQ MEA Large Mid Cap JPY Index (NQMEALMJPY)
NASDAQOMX/NQMEALMJPYN,NASDAQ MEA Large Mid Cap JPY NTR Index (NQMEALMJPYN)
NASDAQOMX/NQMEALMJPYT,NASDAQ MEA Large Mid Cap JPY TR Index (NQMEALMJPYT)
NASDAQOMX/NQMEALMN,NASDAQ MEA Large Mid Cap NTR Index (NQMEALMN)
NASDAQOMX/NQMEALMT,NASDAQ MEA Large Mid Cap TR Index (NQMEALMT)
NASDAQOMX/NQMEAMCAUD,NASDAQ MEA Mid Cap AUD Index (NQMEAMCAUD)
NASDAQOMX/NQMEAMCAUDN,NASDAQ MEA Mid Cap AUD NTR Index (NQMEAMCAUDN)
NASDAQOMX/NQMEAMCAUDT,NASDAQ MEA Mid Cap AUD TR Index (NQMEAMCAUDT)
NASDAQOMX/NQMEAMCCAD,NASDAQ MEA Mid Cap CAD Index (NQMEAMCCAD)
NASDAQOMX/NQMEAMCCADN,NASDAQ MEA Mid Cap CAD NTR Index (NQMEAMCCADN)
NASDAQOMX/NQMEAMCCADT,NASDAQ MEA Mid Cap CAD TR Index (NQMEAMCCADT)
NASDAQOMX/NQMEAMCEUR,NASDAQ MEA Mid Cap EUR Index (NQMEAMCEUR)
NASDAQOMX/NQMEAMCEURN,NASDAQ MEA Mid Cap EUR NTR Index (NQMEAMCEURN)
NASDAQOMX/NQMEAMCEURT,NASDAQ MEA Mid Cap EUR TR Index (NQMEAMCEURT)
NASDAQOMX/NQMEAMCGBP,NASDAQ MEA Mid Cap GBP Index (NQMEAMCGBP)
NASDAQOMX/NQMEAMCGBPN,NASDAQ MEA Mid Cap GBP NTR Index (NQMEAMCGBPN)
NASDAQOMX/NQMEAMCGBPT,NASDAQ MEA Mid Cap GBP TR Index (NQMEAMCGBPT)
NASDAQOMX/NQMEAMC,NASDAQ MEA Mid Cap Index (NQMEAMC)
NASDAQOMX/NQMEAMCJPY,NASDAQ MEA Mid Cap JPY Index (NQMEAMCJPY)
NASDAQOMX/NQMEAMCJPYN,NASDAQ MEA Mid Cap JPY NTR Index (NQMEAMCJPYN)
NASDAQOMX/NQMEAMCJPYT,NASDAQ MEA Mid Cap JPY TR Index (NQMEAMCJPYT)
NASDAQOMX/NQMEAMCN,NASDAQ MEA Mid Cap NTR Index (NQMEAMCN)
NASDAQOMX/NQMEAMCT,NASDAQ MEA Mid Cap TR Index (NQMEAMCT)
NASDAQOMX/NQMEAN,NASDAQ MEA NTR Index (NQMEAN)
NASDAQOMX/NQMEA0001AUD,NASDAQ MEA Oil & Gas AUD Index (NQMEA0001AUD)
NASDAQOMX/NQMEA0001AUDN,NASDAQ MEA Oil & Gas AUD NTR Index (NQMEA0001AUDN)
NASDAQOMX/NQMEA0001AUDT,NASDAQ MEA Oil & Gas AUD TR Index (NQMEA0001AUDT)
NASDAQOMX/NQMEA0001CAD,NASDAQ MEA Oil & Gas CAD Index (NQMEA0001CAD)
NASDAQOMX/NQMEA0001CADN,NASDAQ MEA Oil & Gas CAD NTR Index (NQMEA0001CADN)
NASDAQOMX/NQMEA0001CADT,NASDAQ MEA Oil & Gas CAD TR Index (NQMEA0001CADT)
NASDAQOMX/NQMEA0001EUR,NASDAQ MEA Oil & Gas EUR Index (NQMEA0001EUR)
NASDAQOMX/NQMEA0001EURN,NASDAQ MEA Oil & Gas EUR NTR Index (NQMEA0001EURN)
NASDAQOMX/NQMEA0001EURT,NASDAQ MEA Oil & Gas EUR TR Index (NQMEA0001EURT)
NASDAQOMX/NQMEA0001GBP,NASDAQ MEA Oil & Gas GBP Index (NQMEA0001GBP)
NASDAQOMX/NQMEA0001GBPN,NASDAQ MEA Oil & Gas GBP NTR Index (NQMEA0001GBPN)
NASDAQOMX/NQMEA0001GBPT,NASDAQ MEA Oil & Gas GBP TR Index (NQMEA0001GBPT)
NASDAQOMX/NQMEA0001,NASDAQ MEA Oil & Gas Index (NQMEA0001)
NASDAQOMX/NQMEA0001JPY,NASDAQ MEA Oil & Gas JPY Index (NQMEA0001JPY)
NASDAQOMX/NQMEA0001JPYN,NASDAQ MEA Oil & Gas JPY NTR Index (NQMEA0001JPYN)
NASDAQOMX/NQMEA0001JPYT,NASDAQ MEA Oil & Gas JPY TR Index (NQMEA0001JPYT)
NASDAQOMX/NQMEA0001N,NASDAQ MEA Oil & Gas NTR Index (NQMEA0001N)
NASDAQOMX/NQMEA0001T,NASDAQ MEA Oil & Gas TR Index (NQMEA0001T)
NASDAQOMX/NQMEA3700AUD,NASDAQ MEA Psnl & Hhld Goods AUD Index (NQMEA3700AUD)
NASDAQOMX/NQMEA3700AUDN,NASDAQ MEA Psnl & Hhld Goods AUD NTR Index (NQMEA3700AUDN)
NASDAQOMX/NQMEA3700AUDT,NASDAQ MEA Psnl & Hhld Goods AUD TR Index (NQMEA3700AUDT)
NASDAQOMX/NQMEA3700CAD,NASDAQ MEA Psnl & Hhld Goods CAD Index (NQMEA3700CAD)
NASDAQOMX/NQMEA3700CADN,NASDAQ MEA Psnl & Hhld Goods CAD NTR Index (NQMEA3700CADN)
NASDAQOMX/NQMEA3700CADT,NASDAQ MEA Psnl & Hhld Goods CAD TR Index (NQMEA3700CADT)
NASDAQOMX/NQMEA3700EUR,NASDAQ MEA Psnl & Hhld Goods EUR Index (NQMEA3700EUR)
NASDAQOMX/NQMEA3700EURN,NASDAQ MEA Psnl & Hhld Goods EUR NTR Index (NQMEA3700EURN)
NASDAQOMX/NQMEA3700EURT,NASDAQ MEA Psnl & Hhld Goods EUR TR Index (NQMEA3700EURT)
NASDAQOMX/NQMEA3700GBP,NASDAQ MEA Psnl & Hhld Goods GBP Index (NQMEA3700GBP)
NASDAQOMX/NQMEA3700GBPN,NASDAQ MEA Psnl & Hhld Goods GBP NTR Index (NQMEA3700GBPN)
NASDAQOMX/NQMEA3700GBPT,NASDAQ MEA Psnl & Hhld Goods GBP TR Index (NQMEA3700GBPT)
NASDAQOMX/NQMEA3700,NASDAQ MEA Psnl & Hhld Goods Index (NQMEA3700)
NASDAQOMX/NQMEA3700JPY,NASDAQ MEA Psnl & Hhld Goods JPY Index (NQMEA3700JPY)
NASDAQOMX/NQMEA3700JPYN,NASDAQ MEA Psnl & Hhld Goods JPY NTR Index (NQMEA3700JPYN)
NASDAQOMX/NQMEA3700JPYT,NASDAQ MEA Psnl & Hhld Goods JPY TR Index (NQMEA3700JPYT)
NASDAQOMX/NQMEA3700N,NASDAQ MEA Psnl & Hhld Goods NTR Index (NQMEA3700N)
NASDAQOMX/NQMEA3700T,NASDAQ MEA Psnl & Hhld Goods TR Index (NQMEA3700T)
NASDAQOMX/NQMEA8600AUD,NASDAQ MEA Real Estate AUD Index (NQMEA8600AUD)
NASDAQOMX/NQMEA8600AUDN,NASDAQ MEA Real Estate AUD NTR Index (NQMEA8600AUDN)
NASDAQOMX/NQMEA8600AUDT,NASDAQ MEA Real Estate AUD TR Index (NQMEA8600AUDT)
NASDAQOMX/NQMEA8600CAD,NASDAQ MEA Real Estate CAD Index (NQMEA8600CAD)
NASDAQOMX/NQMEA8600CADN,NASDAQ MEA Real Estate CAD NTR Index (NQMEA8600CADN)
NASDAQOMX/NQMEA8600CADT,NASDAQ MEA Real Estate CAD TR Index (NQMEA8600CADT)
NASDAQOMX/NQMEA8600EUR,NASDAQ MEA Real Estate EUR Index (NQMEA8600EUR)
NASDAQOMX/NQMEA8600EURN,NASDAQ MEA Real Estate EUR NTR Index (NQMEA8600EURN)
NASDAQOMX/NQMEA8600EURT,NASDAQ MEA Real Estate EUR TR Index (NQMEA8600EURT)
NASDAQOMX/NQMEA8600GBP,NASDAQ MEA Real Estate GBP Index (NQMEA8600GBP)
NASDAQOMX/NQMEA8600GBPN,NASDAQ MEA Real Estate GBP NTR Index (NQMEA8600GBPN)
NASDAQOMX/NQMEA8600GBPT,NASDAQ MEA Real Estate GBP TR Index (NQMEA8600GBPT)
NASDAQOMX/NQMEA8600,NASDAQ MEA Real Estate Index (NQMEA8600)
NASDAQOMX/NQMEA8600JPY,NASDAQ MEA Real Estate JPY Index (NQMEA8600JPY)
NASDAQOMX/NQMEA8600JPYN,NASDAQ MEA Real Estate JPY NTR Index (NQMEA8600JPYN)
NASDAQOMX/NQMEA8600JPYT,NASDAQ MEA Real Estate JPY TR Index (NQMEA8600JPYT)
NASDAQOMX/NQMEA8600LMAUD,NASDAQ MEA Real Estate Large Mid Cap AUD Index (NQMEA8600LMAUD)
NASDAQOMX/NQMEA8600LMAUDN,NASDAQ MEA Real Estate Large Mid Cap AUD NTR Index (NQMEA8600LMAUDN)
NASDAQOMX/NQMEA8600LMAUDT,NASDAQ MEA Real Estate Large Mid Cap AUD TR Index (NQMEA8600LMAUDT)
NASDAQOMX/NQMEA8600LMCAD,NASDAQ MEA Real Estate Large Mid Cap CAD Index (NQMEA8600LMCAD)
NASDAQOMX/NQMEA8600LMCADN,NASDAQ MEA Real Estate Large Mid Cap CAD NTR Index (NQMEA8600LMCADN)
NASDAQOMX/NQMEA8600LMCADT,NASDAQ MEA Real Estate Large Mid Cap CAD TR Index (NQMEA8600LMCADT)
NASDAQOMX/NQMEA8600LMEUR,NASDAQ MEA Real Estate Large Mid Cap EUR Index (NQMEA8600LMEUR)
NASDAQOMX/NQMEA8600LMEURN,NASDAQ MEA Real Estate Large Mid Cap EUR NTR Index (NQMEA8600LMEURN)
NASDAQOMX/NQMEA8600LMEURT,NASDAQ MEA Real Estate Large Mid Cap EUR TR Index (NQMEA8600LMEURT)
NASDAQOMX/NQMEA8600LMGBP,NASDAQ MEA Real Estate Large Mid Cap GBP Index (NQMEA8600LMGBP)
NASDAQOMX/NQMEA8600LMGBPN,NASDAQ MEA Real Estate Large Mid Cap GBP NTR Index (NQMEA8600LMGBPN)
NASDAQOMX/NQMEA8600LMGBPT,NASDAQ MEA Real Estate Large Mid Cap GBP TR Index (NQMEA8600LMGBPT)
NASDAQOMX/NQMEA8600LM,NASDAQ MEA Real Estate Large Mid Cap Index (NQMEA8600LM)
NASDAQOMX/NQMEA8600LMJPY,NASDAQ MEA Real Estate Large Mid Cap JPY Index (NQMEA8600LMJPY)
NASDAQOMX/NQMEA8600LMJPYN,NASDAQ MEA Real Estate Large Mid Cap JPY NTR Index (NQMEA8600LMJPYN)
NASDAQOMX/NQMEA8600LMJPYT,NASDAQ MEA Real Estate Large Mid Cap JPY TR Index (NQMEA8600LMJPYT)
NASDAQOMX/NQMEA8600LMN,NASDAQ MEA Real Estate Large Mid Cap NTR Index (NQMEA8600LMN)
NASDAQOMX/NQMEA8600LMT,NASDAQ MEA Real Estate Large Mid Cap TR Index (NQMEA8600LMT)
NASDAQOMX/NQMEA8600N,NASDAQ MEA Real Estate NTR Index (NQMEA8600N)
NASDAQOMX/NQMEA8600T,NASDAQ MEA Real Estate TR Index (NQMEA8600T)
NASDAQOMX/NQMEA5300AUD,NASDAQ MEA Retail AUD Index (NQMEA5300AUD)
NASDAQOMX/NQMEA5300AUDN,NASDAQ MEA Retail AUD NTR Index (NQMEA5300AUDN)
NASDAQOMX/NQMEA5300AUDT,NASDAQ MEA Retail AUD TR Index (NQMEA5300AUDT)
NASDAQOMX/NQMEA5300CAD,NASDAQ MEA Retail CAD Index (NQMEA5300CAD)
NASDAQOMX/NQMEA5300CADN,NASDAQ MEA Retail CAD NTR Index (NQMEA5300CADN)
NASDAQOMX/NQMEA5300CADT,NASDAQ MEA Retail CAD TR Index (NQMEA5300CADT)
NASDAQOMX/NQMEA5300EUR,NASDAQ MEA Retail EUR Index (NQMEA5300EUR)
NASDAQOMX/NQMEA5300EURN,NASDAQ MEA Retail EUR NTR Index (NQMEA5300EURN)
NASDAQOMX/NQMEA5300EURT,NASDAQ MEA Retail EUR TR Index (NQMEA5300EURT)
NASDAQOMX/NQMEA5300GBP,NASDAQ MEA Retail GBP Index (NQMEA5300GBP)
NASDAQOMX/NQMEA5300GBPN,NASDAQ MEA Retail GBP NTR Index (NQMEA5300GBPN)
NASDAQOMX/NQMEA5300GBPT,NASDAQ MEA Retail GBP TR Index (NQMEA5300GBPT)
NASDAQOMX/NQMEA5300,NASDAQ MEA Retail Index (NQMEA5300)
NASDAQOMX/NQMEA5300JPY,NASDAQ MEA Retail JPY Index (NQMEA5300JPY)
NASDAQOMX/NQMEA5300JPYN,NASDAQ MEA Retail JPY NTR Index (NQMEA5300JPYN)
NASDAQOMX/NQMEA5300JPYT,NASDAQ MEA Retail JPY TR Index (NQMEA5300JPYT)
NASDAQOMX/NQMEA5300LMAUD,NASDAQ MEA Retail Large Mid Cap AUD Index (NQMEA5300LMAUD)
NASDAQOMX/NQMEA5300LMAUDN,NASDAQ MEA Retail Large Mid Cap AUD NTR Index (NQMEA5300LMAUDN)
NASDAQOMX/NQMEA5300LMAUDT,NASDAQ MEA Retail Large Mid Cap AUD TR Index (NQMEA5300LMAUDT)
NASDAQOMX/NQMEA5300LMCAD,NASDAQ MEA Retail Large Mid Cap CAD Index (NQMEA5300LMCAD)
NASDAQOMX/NQMEA5300LMCADN,NASDAQ MEA Retail Large Mid Cap CAD NTR Index (NQMEA5300LMCADN)
NASDAQOMX/NQMEA5300LMCADT,NASDAQ MEA Retail Large Mid Cap CAD TR Index (NQMEA5300LMCADT)
NASDAQOMX/NQMEA5300LMEUR,NASDAQ MEA Retail Large Mid Cap EUR Index (NQMEA5300LMEUR)
NASDAQOMX/NQMEA5300LMEURN,NASDAQ MEA Retail Large Mid Cap EUR NTR Index (NQMEA5300LMEURN)
NASDAQOMX/NQMEA5300LMEURT,NASDAQ MEA Retail Large Mid Cap EUR TR Index (NQMEA5300LMEURT)
NASDAQOMX/NQMEA5300LMGBP,NASDAQ MEA Retail Large Mid Cap GBP Index (NQMEA5300LMGBP)
NASDAQOMX/NQMEA5300LMGBPN,NASDAQ MEA Retail Large Mid Cap GBP NTR Index (NQMEA5300LMGBPN)
NASDAQOMX/NQMEA5300LMGBPT,NASDAQ MEA Retail Large Mid Cap GBP TR Index (NQMEA5300LMGBPT)
NASDAQOMX/NQMEA5300LM,NASDAQ MEA Retail Large Mid Cap Index (NQMEA5300LM)
NASDAQOMX/NQMEA5300LMJPY,NASDAQ MEA Retail Large Mid Cap JPY Index (NQMEA5300LMJPY)
NASDAQOMX/NQMEA5300LMJPYN,NASDAQ MEA Retail Large Mid Cap JPY NTR Index (NQMEA5300LMJPYN)
NASDAQOMX/NQMEA5300LMJPYT,NASDAQ MEA Retail Large Mid Cap JPY TR Index (NQMEA5300LMJPYT)
NASDAQOMX/NQMEA5300LMN,NASDAQ MEA Retail Large Mid Cap NTR Index (NQMEA5300LMN)
NASDAQOMX/NQMEA5300LMT,NASDAQ MEA Retail Large Mid Cap TR Index (NQMEA5300LMT)
NASDAQOMX/NQMEA5300N,NASDAQ MEA Retail NTR Index (NQMEA5300N)
NASDAQOMX/NQMEA5300T,NASDAQ MEA Retail TR Index (NQMEA5300T)
NASDAQOMX/NQMEASCAUD,NASDAQ MEA Small Cap AUD Index (NQMEASCAUD)
NASDAQOMX/NQMEASCAUDN,NASDAQ MEA Small Cap AUD NTR Index (NQMEASCAUDN)
NASDAQOMX/NQMEASCAUDT,NASDAQ MEA Small Cap AUD TR Index (NQMEASCAUDT)
NASDAQOMX/NQMEASCCAD,NASDAQ MEA Small Cap CAD Index (NQMEASCCAD)
NASDAQOMX/NQMEASCCADN,NASDAQ MEA Small Cap CAD NTR Index (NQMEASCCADN)
NASDAQOMX/NQMEASCCADT,NASDAQ MEA Small Cap CAD TR Index (NQMEASCCADT)
NASDAQOMX/NQMEASCEUR,NASDAQ MEA Small Cap EUR Index (NQMEASCEUR)
NASDAQOMX/NQMEASCEURN,NASDAQ MEA Small Cap EUR NTR Index (NQMEASCEURN)
NASDAQOMX/NQMEASCEURT,NASDAQ MEA Small Cap EUR TR Index (NQMEASCEURT)
NASDAQOMX/NQMEASCGBP,NASDAQ MEA Small Cap GBP Index (NQMEASCGBP)
NASDAQOMX/NQMEASCGBPN,NASDAQ MEA Small Cap GBP NTR Index (NQMEASCGBPN)
NASDAQOMX/NQMEASCGBPT,NASDAQ MEA Small Cap GBP TR Index (NQMEASCGBPT)
NASDAQOMX/NQMEASC,NASDAQ MEA Small Cap Index (NQMEASC)
NASDAQOMX/NQMEASCJPY,NASDAQ MEA Small Cap JPY Index (NQMEASCJPY)
NASDAQOMX/NQMEASCJPYN,NASDAQ MEA Small Cap JPY NTR Index (NQMEASCJPYN)
NASDAQOMX/NQMEASCJPYT,NASDAQ MEA Small Cap JPY TR Index (NQMEASCJPYT)
NASDAQOMX/NQMEASCN,NASDAQ MEA Small Cap NTR Index (NQMEASCN)
NASDAQOMX/NQMEASCT,NASDAQ MEA Small Cap TR Index (NQMEASCT)
NASDAQOMX/NQMEA9000AUD,NASDAQ MEA Tech AUD Index (NQMEA9000AUD)
NASDAQOMX/NQMEA9000AUDN,NASDAQ MEA Tech AUD NTR Index (NQMEA9000AUDN)
NASDAQOMX/NQMEA9000AUDT,NASDAQ MEA Tech AUD TR Index (NQMEA9000AUDT)
NASDAQOMX/NQMEA9000CAD,NASDAQ MEA Tech CAD Index (NQMEA9000CAD)
NASDAQOMX/NQMEA9000CADN,NASDAQ MEA Tech CAD NTR Index (NQMEA9000CADN)
NASDAQOMX/NQMEA9000CADT,NASDAQ MEA Tech CAD TR Index (NQMEA9000CADT)
NASDAQOMX/NQMEA9000EUR,NASDAQ MEA Tech EUR Index (NQMEA9000EUR)
NASDAQOMX/NQMEA9000EURN,NASDAQ MEA Tech EUR NTR Index (NQMEA9000EURN)
NASDAQOMX/NQMEA9000EURT,NASDAQ MEA Tech EUR TR Index (NQMEA9000EURT)
NASDAQOMX/NQMEA9000GBP,NASDAQ MEA Tech GBP Index (NQMEA9000GBP)
NASDAQOMX/NQMEA9000GBPN,NASDAQ MEA Tech GBP NTR Index (NQMEA9000GBPN)
NASDAQOMX/NQMEA9000GBPT,NASDAQ MEA Tech GBP TR Index (NQMEA9000GBPT)
NASDAQOMX/NQMEA9000,NASDAQ MEA Tech Index (NQMEA9000)
NASDAQOMX/NQMEA9000JPY,NASDAQ MEA Tech JPY Index (NQMEA9000JPY)
NASDAQOMX/NQMEA9000JPYN,NASDAQ MEA Tech JPY NTR Index (NQMEA9000JPYN)
NASDAQOMX/NQMEA9000JPYT,NASDAQ MEA Tech JPY TR Index (NQMEA9000JPYT)
NASDAQOMX/NQMEA9000N,NASDAQ MEA Tech NTR Index (NQMEA9000N)
NASDAQOMX/NQMEA9000T,NASDAQ MEA Tech TR Index (NQMEA9000T)
NASDAQOMX/NQMEA6000AUD,NASDAQ MEA Telecom AUD Index (NQMEA6000AUD)
NASDAQOMX/NQMEA6000AUDN,NASDAQ MEA Telecom AUD NTR Index (NQMEA6000AUDN)
NASDAQOMX/NQMEA6000AUDT,NASDAQ MEA Telecom AUD TR Index (NQMEA6000AUDT)
NASDAQOMX/NQMEA6000CAD,NASDAQ MEA Telecom CAD Index (NQMEA6000CAD)
NASDAQOMX/NQMEA6000CADN,NASDAQ MEA Telecom CAD NTR Index (NQMEA6000CADN)
NASDAQOMX/NQMEA6000CADT,NASDAQ MEA Telecom CAD TR Index (NQMEA6000CADT)
NASDAQOMX/NQMEA6000EUR,NASDAQ MEA Telecom EUR Index (NQMEA6000EUR)
NASDAQOMX/NQMEA6000EURN,NASDAQ MEA Telecom EUR NTR Index (NQMEA6000EURN)
NASDAQOMX/NQMEA6000EURT,NASDAQ MEA Telecom EUR TR Index (NQMEA6000EURT)
